,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
Default,0.07190304141414142,0.4855424242424242,230278.70707070708,0.7612929292929292,0.0975657497979798,5.414141414141414,0.18736161616161617,-6.84240404040404,0.0526939393939394,131.58731313131312,3.9696969696969697,0.5256060606060606
Output,0.06795988939393939,0.4827575757575758,233081.59595959596,0.7954242424242424,0.22878188898989898,4.101010101010101,0.19656565656565655,-6.664505050505051,0.05017878787878788,127.10173737373738,4,0.48076868686868685
Model,0.16910457010899183,0.5420234332425068,226753.73887375114,0.722591553133515,0.28404881455495007,5.349227974568574,0.21107406902815623,-7.016931425976385,0.10394436875567666,126.21330971843778,3.948683015440509,0.43089990917347865
